Text,Toxic,Abusive,Threat,Provocative,Obscene,Hatespeech,Racist,Nationalist,Sexist,Homophobic,ReligiousHate,Radicalism,Sentiment,Cleaned_Text
what ignorant coward full emotion estrogen apathy where hell come from fuckin racially ambiguous blackwashed loudmouth they really chose pathetic interview,True,True,False,True,False,True,True,False,False,False,False,False,Negative,ignorant coward full emotion estrogen apathy hell come fuckin racially ambiguous blackwashed loudmouth really chose pathetic interview
that motherfucker angryand understand,True,True,False,False,True,False,False,False,False,False,False,False,Negative,motherfucker angryand understand
lets this straight present facts mass media should have from beginning legal aspects adult robs convince store criminal later flees seen aprehended police resists arrest altercation occurs between two police every case similar this uses force criminal killed killing goes court randomly selected jury views evidence hears witnesses which pertain case radom jury reaches unanimous verdict guilty sorry protestors cant here over this democracy,True,True,False,True,False,False,False,False,False,False,False,False,Negative,let straight present fact mass medium beginning legal aspect adult robs convince store criminal later flees seen aprehended police resists arrest altercation occurs two police every case similar us force criminal killed killing go court randomly selected jury view evidence hears witness pertain case radom jury reach unanimous verdict guilty sorry protestors cant democracy
these protestors work living where they time this,False,False,False,False,False,False,False,False,False,False,False,False,Negative,protestors work living time
people would obey law like normal human beings this would never happen winner,False,False,False,False,False,False,False,False,False,False,False,False,Negative,people would obey law like normal human being would never happen winner
indictmentmoving right along,False,False,False,False,False,False,False,False,False,False,False,False,Negative,indictmentmoving right along
like animals treated like animals,True,False,False,False,False,True,True,False,False,False,False,False,Negative,like animal treated like animal
michael smerconish hack,False,False,False,False,False,False,False,False,False,False,False,False,Negative,michael smerconish hack
surethey totally looked factual evidence during that trial more like special treatment hey knew that going happen didnt,True,True,False,True,False,False,False,False,False,False,False,False,Negative,surethey totally looked factual evidence trial like special treatment hey knew going happen didnt
tellin fact steal swisher sweets value lifejust admit racist quit being bunch faggott bitches,True,True,False,False,False,False,False,False,False,False,False,False,Negative,tellin fact steal swisher sweet value lifejust admit racist quit bunch faggott bitch
proof blacks arent victims statistically cops kill more whites than blacks whites them necessary because they save more lives than they cost while places like ferguson lose their minds statistically murdered blacks killed other blacks with whites consisting murderers being other races whites were enslaved blacks first over years this when europeansthe same race that started america later enslaved africans began searching north africa establish trade goods between natives from 1520s late 1600s whites were enslaved first later tables turned this boys girls called karma statistically over murders alone from blacks despite them making only 141 entire population while despite whites make population they only make murders whites make welfare recipients with blacks making 39 this doesnt seem extreme until realize that 39blacks consists that 141 whith that 38whites making meaning each individual black person about times likely than whites welfare,True,False,False,False,False,True,True,False,False,False,False,False,Negative,proof black arent victim statistically cop kill white black white necessary save life cost place like ferguson lose mind statistically murdered black killed black white consisting murderer race white enslaved black first year europeansthe race started america later enslaved african began searching north africa establish trade good native late white enslaved first later table turned boy girl called karma statistically murder alone black despite making entire population despite white make population make murder white make welfare recipient black making doesnt seem extreme realize black consists whith white making meaning individual black person time likely white welfare
white cant finish sentence america needs wake upthe truth murder there,True,True,False,False,False,True,True,False,False,False,False,False,Negative,white cant finish sentence america need wake upthe truth murder
ill sure avoid getting this guys taxi cab,False,False,False,False,False,False,False,False,False,False,False,False,Negative,ill sure avoid getting guy taxi cab
fuck media bassem right find something real investigate youre just exaggerating because want more views more money fuck selfish fucks these people disgusting dont know they bare with their nasty selves,True,True,False,True,True,False,False,False,False,False,False,False,Negative,fuck medium bassem right find something real investigate youre exaggerating want view money fuck selfish fuck people disgusting dont know bare nasty self
youse guys going ill tell what doing that going happen very its going benefit dont care much money have ellen better like rest careful what there russia between this careful have kids,False,False,False,False,False,False,False,False,False,False,False,False,Positive,youse guy going ill tell going happen going benefit dont care much money ellen better like rest careful russia careful kid
this here needs grow,False,False,False,False,False,False,False,False,False,False,False,False,Negative,need grow
shoot apprehend easier said than done when evidence presented michael brown still attackin darren after shot twice people have this misconception like movies that shot anywhere body will disable attacker this false belief there cases people still attacking running after theyve been shot times sake cent shot times hes alive when youre being attacked somthing pound person youre your back its hard just goin shoot apprehend michael brown copnducted himself like gentleman this wouldnt have happened aggresive piece shit this muslim shit head isnt better hes filled with rage doesnt have answer anything progression comes from tolerance violence,True,False,False,False,False,True,True,False,False,False,True,False,Negative,shoot apprehend easier said done evidence presented michael brown still attackin darren shot twice people misconception like movie shot anywhere body disable attacker false belief case people still attacking running theyve shot time sake cent shot time he alive youre attacked somthing pound person youre back hard goin shoot apprehend michael brown copnducted like gentleman wouldnt happened aggresive piece shit muslim shit head isnt better he filled rage doesnt answer anything progression come tolerance violence
its about just brown its about daily killings nonwhites white cops thats reality,False,False,False,False,False,False,False,False,False,False,False,False,Negative,brown daily killing nonwhites white cop thats reality
this hired what idiot,True,True,False,False,False,False,False,False,False,False,False,False,Negative,hired idiot
this moron,True,True,False,False,False,False,False,False,False,False,False,False,Negative,moron
cnnso touchclose idiots people watching comedy reportinglol,True,True,False,False,False,False,False,False,False,False,False,False,Negative,cnnso touchclose idiot people watching comedy reportinglol
bassem masri criminal thug psychopath credibility humanity needs locked jail cell time rubberroom straightjacket bassem intellectually dishonest butt community,True,True,False,False,True,False,False,False,False,False,False,False,Negative,bassem masri criminal thug psychopath credibility humanity need locked jail cell time rubberroom straightjacket bassem intellectually dishonest butt community
this joke,True,True,False,False,False,False,False,False,False,False,False,False,Negative,joke
wonder what police expect will happen when they continually abuse kill people they honestly expect public nothing about just back take cops just turn into massive street gang allowed kill without consequence even when its cornered will defend itself,True,True,False,True,False,False,False,False,False,False,False,False,Negative,wonder police expect happen continually abuse kill people honestly expect public nothing back take cop turn massive street gang allowed kill without consequence even cornered defend
dont want sons death vain lets burn this bitch down stupid fucks destroying livelihoods peaceful protests fucking ass,True,True,False,False,True,False,False,False,False,False,False,False,Negative,dont want son death vain let burn bitch stupid fuck destroying livelihood peaceful protest fucking as
this hero,False,False,False,False,False,False,False,False,False,False,False,False,Positive,hero
that sound spitting arab expression,False,False,False,False,False,False,False,False,False,False,False,False,Negative,sound spitting arab expression
wow,False,False,False,False,False,False,False,False,False,False,False,False,Positive,wow
think that this indecent unessacerry event person being shot brown stole something wasnt intirely police officers fault,False,False,False,False,False,False,False,False,False,False,False,False,Negative,think indecent unessacerry event person shot brown stole something wasnt intirely police officer fault
this genuine failure leadership president united states this nice town ferguson should have been declared state emergency should have been under martial law federal troops should have stuffed town nonresidents should have been pushed out everyone knew there going another riot butwhat president didnt want offend black community didnt want anyone else shot just burn baby burn seems that real leader could have both ways president sir have failed reprehensibly accuse you,True,True,False,True,False,False,False,False,False,False,False,False,Negative,genuine failure leadership president united state nice town ferguson declared state emergency martial law federal troop stuffed town nonresident pushed everyone knew going another riot butwhat president didnt want offend black community didnt want anyone else shot burn baby burn seems real leader could way president sir failed reprehensibly accuse
anyone know they irradiating commercial strawberry seeds mine wont germinate,False,False,False,False,False,False,False,False,False,False,False,False,Negative,anyone know irradiating commercial strawberry seed mine wont germinate
arabs hate black people this isis sympathizer just wants call community nonsense,True,False,False,False,False,True,True,False,False,False,False,False,Negative,arab hate black people isi sympathizer want call community nonsense
cant life understand people think that mike brown martyr some cause criminal black people criminals absolutely not there white criminals hispanic criminals betcha situation exactly same races were reversed there would issue all,True,False,False,False,False,True,True,False,False,False,False,False,Negative,cant life understand people think mike brown martyr cause criminal black people criminal absolutely white criminal hispanic criminal betcha situation exactly race reversed would issue
well done,False,False,False,False,False,False,False,False,False,False,False,False,Positive,well done
mans been tried forever well that worked look where now,False,False,False,False,False,False,False,False,False,False,False,False,Positive,man tried forever well worked look
344 sayin,False,False,False,False,False,False,False,False,False,False,False,False,Negative,sayin
without that badge they bitch half fuck police,True,True,False,False,False,False,False,False,False,False,False,False,Negative,without badge bitch half fuck police
this arab piece shit acting like gets harrassed parents store acts like gets treated like black people lol same people steals from store what moron piece shit,True,True,False,False,True,True,True,False,False,False,False,False,Negative,arab piece shit acting like get harrassed parent store act like get treated like black people lol people steal store moron piece shit
its people like this that makes america shake its head nawamsain fuck dont,False,False,False,False,False,False,False,False,False,False,False,False,Negative,people like make america shake head nawamsain fuck dont
police brutality affects everyone its just black issue when they made black issue thats when people arent black tend stop listening racial profiling police dont fuck with everyone police dont care what color are arent policeman they will fuck with you look youtube will notice brutality doesnt discriminate stop with this racial bullshit because want cops finally held accountable their powertripping actions need realize that playing whole because black only black black card makes people arent black feel less sympathetic because every race here issues with them,True,True,False,True,True,False,False,False,False,False,False,False,Negative,police brutality affect everyone black issue made black issue thats people arent black tend stop listening racial profiling police dont fuck everyone police dont care color arent policeman fuck look youtube notice brutality doesnt discriminate stop racial bullshit want cop finally held accountable powertripping action need realize playing whole black black black card make people arent black feel less sympathetic every race issue
christians rock,False,False,False,False,False,False,False,False,False,False,False,False,Negative,christian rock
only good anchor have ever seen,False,False,False,False,False,False,False,False,False,False,False,False,Positive,good anchor ever seen
islamic terrorist insighting hatred violence under disguise african citizen time that american citizens realise their true enemy islam black white people,True,False,False,False,False,True,False,False,False,False,True,False,Negative,islamic terrorist insighting hatred violence disguise african citizen time american citizen realise true enemy islam black white people
fuck corrupt demon worshiping fools,True,True,False,False,False,False,False,False,False,False,False,False,Negative,fuck corrupt demon worshiping fool
this dumbass claims that policed hired thugs took phone shot rounds without evidence back claims,True,True,False,False,False,False,False,False,False,False,False,False,Negative,dumbass claim policed hired thug took phone shot round without evidence back claim
mike browns father does into ithe caught video saying burn bitch down reffering fergusonand this dude interviwing just thug should given time,True,True,False,False,False,False,False,False,False,False,False,False,Negative,mike brown father ithe caught video saying burn bitch reffering fergusonand dude interviwing thug given time
brown isused excuse loot take peoples shit destroy neighborhoods haaaa typical ghetto bullshit aint even hood just ghetto bitches collecting free rent from govt while fighting govt same occupy wall street fagets have nothing else clean highways ,True,False,False,False,False,True,True,False,False,False,False,False,Negative,brown isused excuse loot take people shit destroy neighborhood haaaa typical ghetto bullshit aint even hood ghetto bitch collecting free rent govt fighting govt occupy wall street fagets nothing else clean highway
wtf isnt this mugged iphone ferguson that video hilarious,False,False,False,False,False,False,False,False,False,False,False,False,Negative,wtf isnt mugged iphone ferguson video hilarious
