Text,Toxic,Abusive,Threat,Provocative,Obscene,Hatespeech,Racist,Nationalist,Sexist,Homophobic,ReligiousHate,Radicalism,Sentiment
this case overshadowed cops that murdered with fake sword saratoga springs utah just much outraged mike brown case murder that happened utah just about same deal cops provided with lethal weapons shooting utah unwarranted because ran dont know lunged police with fake sword should have taken that opportunity immediate action right then shot times back know large group cops corrupt these murderers nothing new though have from police many times when teens cops just pursue find hiding some where just bullets back ending life they said some paper saratoga springs about black population have been through there would they were about,False,False,False,False,False,False,False,False,False,False,False,False,Negative
this zionist look jewnesss face only employ zionist sympathisers neocon racists wolf blitzer emplpyeee,True,False,False,False,False,True,True,False,False,False,False,False,Negative
there blood street worried about words  getting very tired with mainstream media treating like idiots will follow their condescending irrelevant distracting disparaging narrative step,False,False,False,False,False,False,False,False,False,False,False,False,Negative
stop being criminals wont shot that simple,True,True,False,True,False,False,False,False,False,False,False,False,Negative
like turtles,False,False,False,False,False,False,False,False,False,False,False,False,Positive
massri needs education,True,True,False,False,False,False,False,False,False,False,False,False,Negative
mother fuckersfuck peace shit,True,True,False,False,True,False,False,False,False,False,False,False,Negative
hers statement think sheep butt fucker masri should take fight syria,True,True,False,True,True,True,True,False,False,False,False,False,Negative
hahahahaha this bassmasters character always teste bassmaster semiretarded character crosseyed just like this,True,True,False,False,False,False,False,False,False,False,False,False,Negative
these childish cops sleep night,False,False,False,False,False,False,False,False,False,False,False,False,Negative
completely idiot having minutrs fame,True,True,False,False,False,False,False,False,False,False,False,False,Negative
hope guys still falling same banana tailpipe bullshit news that theyre giving,True,True,False,False,False,False,False,False,False,False,False,False,Negative
such bullcrap,True,True,False,False,False,False,False,False,False,False,False,False,Negative
alright this entire case crap these people saying that white people being racist calling them names just racist would like call there have been extensive investigations that prove that this boys death self defense however defending whole thing but defending helpless citizens ferguson this died dont care white black what care about people ferguson treating their town they really cared about this incident they would hold memorials express their feelingsthis helping themselves justice what really matters that this dead something been done about grand jury decided just over,False,False,False,False,False,False,False,False,False,False,False,False,Negative
this doesnt know what happened didnt have hands,False,False,False,False,False,False,False,False,False,False,False,False,Negative
lookin like pussies,True,True,False,False,True,False,False,False,False,False,False,False,Negative
smirconnish most evenhanded world this masri idiot,True,True,False,False,False,False,False,False,False,False,False,False,Negative
masri total idiot dont have know evidence just come conclusions instead here clue dont attack take then rush after finally gets wont shot duhhh what would masri take brown icecream beating into ground defend himself btw browns momma gramma violently assaulted some people were selling tshirts memory brown people hospital stole their money trashed their shop will probably charged know what sort mentality brown raised thug wanna caused death,True,True,False,False,False,True,True,False,False,False,False,False,Negative
take break because bassem making much sense debate further,False,False,False,False,False,False,False,False,False,False,False,False,Negative
lets reverse rolls black racist cops rich white communitiesbut cant prove there racist when white gets pissed this intolerable condition unload several clips high caliber ammo point blank range audacity questioning authority americans need full alert this elitist agenda presidents questioning authority elitist upperclass problem prison culture drug cartels exporting jobs importing cheap labor while elitist bailed support this corrupt system turn this around when past race issue govt incites divide working class hardly call working class because govt everyone work more homeless class western history role money plays this clusterfuck designed destroy nation that destroyed this point back how,True,False,False,False,False,True,True,False,False,False,False,False,Negative
this moron talking about being peaceful their burning nations flag idiot even though thats what suppose when its they have knowledge they babies making noise,True,True,False,False,False,False,False,False,False,False,False,False,Negative
this agent provocateur operative kickstart riots american civil war hes african american rehearsed ebonics transparent,False,False,False,False,False,False,False,False,False,False,False,False,Negative
someone shoot this black idiot too that would make giggle inside,True,True,False,True,False,True,True,False,False,False,False,False,Negative
people sick this speaking truth yall just mad trying justify young nothing shot killed smh yall devil disease this earth ill glad when burns your asses into extinction have planet back half animal half devil cave beasts,True,True,False,True,True,False,False,False,False,False,False,False,Negative
world changing police isis gonna come here thats when time kill these faucks,True,True,True,True,False,True,False,False,False,False,True,False,Negative
propaganda most part people them hear ferguson too,False,False,False,False,False,False,False,False,False,False,False,False,Negative
what waste time talking that idiot you know what sayin ill believe what want believe yup hell with facts evidence loser,True,True,False,False,False,False,False,False,False,False,False,False,Negative
news fucktardspuppet playersall they paid liars,True,True,False,False,False,False,False,False,False,False,False,False,Negative
bassem right express himselfwe have freedom expressionwe have that rightits amendment constitutioni dont think that competent after all,False,False,False,False,False,False,False,False,False,False,False,False,Positive
does this riot before after work orrrr guess fucks doing nothing,True,True,False,False,False,False,False,False,False,False,False,False,Negative
masri 100 right couldnt better myself,False,False,False,False,False,False,False,False,False,False,False,False,Negative
anyone tell racist white shoots black man racist when black shoots white man these cases turn instantly into racist ones makes sense,False,False,False,False,False,False,False,False,False,False,False,False,Negative
racial profiling police intimidation robbed store killed result fucking excuses man black people shouldnt have arrested when they commit strong robbery when black people violent they shouldnt have fear getting down like animal actually said shouldnt have worry about warrants lol fucking piece human garbage,True,True,False,False,False,False,False,False,False,False,False,False,Negative
wrong mother fucker shoot apprehend,True,True,False,False,True,False,False,False,False,False,False,False,Negative
black white crimes seems topic after ferguson case just came here brag about finnish cops that used firearm times last year time towards human times warn times kill wounded animal million here capita,False,False,False,False,False,False,False,False,False,False,False,False,Negative
heading reads when protesters take,False,False,False,False,False,False,False,False,False,False,False,False,Negative
this muslim does have anything mind peace wants stir dissonance trouble among americans using racist accusations that goal,True,False,False,False,False,True,False,False,False,False,True,False,Negative
another imbecile bunch reporter incompetent bastard,True,True,False,False,False,False,False,False,False,False,False,False,Negative
this interviewer right this should show some respect paramilitary police that killing getting away with,True,True,False,True,False,False,False,False,False,False,False,False,Negative
some dumb people,True,True,False,False,False,False,False,False,False,False,False,False,Negative
bassem think walmart hiring holidays loser,True,True,False,False,False,False,False,False,False,False,False,False,Negative
teen faces life prison brownies year gets arrested feeding poor police officer free with charges whatsoever killing teenager dont people wrong this,False,False,False,False,False,False,False,False,False,False,False,False,Negative
you know what sayin,False,False,False,False,False,False,False,False,False,False,False,False,Negative
yeah right white shot black hell break lose black shot black protest maybe they start doing protest black shotting black thier story,True,False,False,False,False,True,True,False,False,False,False,False,Negative
lets steal from convenience store then lets punch face shot times then lets black people white apologists around street setting buildings fire fucking dirty gutter rats living welfare causing violence just look where rest black people live dirties ebola plague ridden continent lucky white countries come over cure their dumb asses,True,False,False,False,False,True,True,False,False,False,False,False,Negative
with this dude fuck punk police,True,True,False,False,True,False,False,False,False,False,False,False,Negative
what stupid arab police shoot apprehend lmao thats works when they being attacked,True,False,False,False,False,True,True,False,False,False,False,False,Negative
509 plain simple truth,False,False,False,False,False,False,False,False,False,False,False,False,Positive
lmfao this dude taking like that hear talking dont know what hes saying,False,False,False,False,False,False,False,False,False,False,False,False,Positive
understand their anger answer,False,False,False,False,False,False,False,False,False,False,False,False,Negative
didnt nuffinz,False,False,False,False,False,False,False,False,False,False,False,False,Negative
what ignorant coward full emotion estrogen apathy where hell come from fuckin racially ambiguous blackwashed loudmouth they really chose pathetic interview,True,True,False,True,False,True,True,False,False,False,False,False,Negative
that motherfucker angryand understand,True,True,False,False,True,False,False,False,False,False,False,False,Negative
lets this straight present facts mass media should have from beginning legal aspects adult robs convince store criminal later flees seen aprehended police resists arrest altercation occurs between two police every case similar this uses force criminal killed killing goes court randomly selected jury views evidence hears witnesses which pertain case radom jury reaches unanimous verdict guilty sorry protestors cant here over this democracy,True,True,False,True,False,False,False,False,False,False,False,False,Negative
these protestors work living where they time this,False,False,False,False,False,False,False,False,False,False,False,False,Negative
people would obey law like normal human beings this would never happen winner,False,False,False,False,False,False,False,False,False,False,False,False,Negative
indictmentmoving right along,False,False,False,False,False,False,False,False,False,False,False,False,Negative
like animals treated like animals,True,False,False,False,False,True,True,False,False,False,False,False,Negative
michael smerconish hack,False,False,False,False,False,False,False,False,False,False,False,False,Negative
surethey totally looked factual evidence during that trial more like special treatment hey knew that going happen didnt,True,True,False,True,False,False,False,False,False,False,False,False,Negative
tellin fact steal swisher sweets value lifejust admit racist quit being bunch faggott bitches,True,True,False,False,False,False,False,False,False,False,False,False,Negative
proof blacks arent victims statistically cops kill more whites than blacks whites them necessary because they save more lives than they cost while places like ferguson lose their minds statistically murdered blacks killed other blacks with whites consisting murderers being other races whites were enslaved blacks first over years this when europeansthe same race that started america later enslaved africans began searching north africa establish trade goods between natives from 1520s late 1600s whites were enslaved first later tables turned this boys girls called karma statistically over murders alone from blacks despite them making only 141 entire population while despite whites make population they only make murders whites make welfare recipients with blacks making 39 this doesnt seem extreme until realize that 39blacks consists that 141 whith that 38whites making meaning each individual black person about times likely than whites welfare,True,False,False,False,False,True,True,False,False,False,False,False,Negative
white cant finish sentence america needs wake upthe truth murder there,True,True,False,False,False,True,True,False,False,False,False,False,Negative
ill sure avoid getting this guys taxi cab,False,False,False,False,False,False,False,False,False,False,False,False,Negative
fuck media bassem right find something real investigate youre just exaggerating because want more views more money fuck selfish fucks these people disgusting dont know they bare with their nasty selves,True,True,False,True,True,False,False,False,False,False,False,False,Negative
youse guys going ill tell what doing that going happen very its going benefit dont care much money have ellen better like rest careful what there russia between this careful have kids,False,False,False,False,False,False,False,False,False,False,False,False,Positive
this here needs grow,False,False,False,False,False,False,False,False,False,False,False,False,Negative
shoot apprehend easier said than done when evidence presented michael brown still attackin darren after shot twice people have this misconception like movies that shot anywhere body will disable attacker this false belief there cases people still attacking running after theyve been shot times sake cent shot times hes alive when youre being attacked somthing pound person youre your back its hard just goin shoot apprehend michael brown copnducted himself like gentleman this wouldnt have happened aggresive piece shit this muslim shit head isnt better hes filled with rage doesnt have answer anything progression comes from tolerance violence,True,False,False,False,False,True,True,False,False,False,True,False,Negative
its about just brown its about daily killings nonwhites white cops thats reality,False,False,False,False,False,False,False,False,False,False,False,False,Negative
this hired what idiot,True,True,False,False,False,False,False,False,False,False,False,False,Negative
this moron,True,True,False,False,False,False,False,False,False,False,False,False,Negative
cnnso touchclose idiots people watching comedy reportinglol,True,True,False,False,False,False,False,False,False,False,False,False,Negative
bassem masri criminal thug psychopath credibility humanity needs locked jail cell time rubberroom straightjacket bassem intellectually dishonest butt community,True,True,False,False,True,False,False,False,False,False,False,False,Negative
this joke,True,True,False,False,False,False,False,False,False,False,False,False,Negative
wonder what police expect will happen when they continually abuse kill people they honestly expect public nothing about just back take cops just turn into massive street gang allowed kill without consequence even when its cornered will defend itself,True,True,False,True,False,False,False,False,False,False,False,False,Negative
dont want sons death vain lets burn this bitch down stupid fucks destroying livelihoods peaceful protests fucking ass,True,True,False,False,True,False,False,False,False,False,False,False,Negative
this hero,False,False,False,False,False,False,False,False,False,False,False,False,Positive
that sound spitting arab expression,False,False,False,False,False,False,False,False,False,False,False,False,Negative
wow,False,False,False,False,False,False,False,False,False,False,False,False,Positive
think that this indecent unessacerry event person being shot brown stole something wasnt intirely police officers fault,False,False,False,False,False,False,False,False,False,False,False,False,Negative
this genuine failure leadership president united states this nice town ferguson should have been declared state emergency should have been under martial law federal troops should have stuffed town nonresidents should have been pushed out everyone knew there going another riot butwhat president didnt want offend black community didnt want anyone else shot just burn baby burn seems that real leader could have both ways president sir have failed reprehensibly accuse you,True,True,False,True,False,False,False,False,False,False,False,False,Negative
anyone know they irradiating commercial strawberry seeds mine wont germinate,False,False,False,False,False,False,False,False,False,False,False,False,Negative
arabs hate black people this isis sympathizer just wants call community nonsense,True,False,False,False,False,True,True,False,False,False,False,False,Negative
cant life understand people think that mike brown martyr some cause criminal black people criminals absolutely not there white criminals hispanic criminals betcha situation exactly same races were reversed there would issue all,True,False,False,False,False,True,True,False,False,False,False,False,Negative
well done,False,False,False,False,False,False,False,False,False,False,False,False,Positive
mans been tried forever well that worked look where now,False,False,False,False,False,False,False,False,False,False,False,False,Positive
344 sayin,False,False,False,False,False,False,False,False,False,False,False,False,Negative
without that badge they bitch half fuck police,True,True,False,False,False,False,False,False,False,False,False,False,Negative
this arab piece shit acting like gets harrassed parents store acts like gets treated like black people lol same people steals from store what moron piece shit,True,True,False,False,True,True,True,False,False,False,False,False,Negative
its people like this that makes america shake its head nawamsain fuck dont,False,False,False,False,False,False,False,False,False,False,False,False,Negative
police brutality affects everyone its just black issue when they made black issue thats when people arent black tend stop listening racial profiling police dont fuck with everyone police dont care what color are arent policeman they will fuck with you look youtube will notice brutality doesnt discriminate stop with this racial bullshit because want cops finally held accountable their powertripping actions need realize that playing whole because black only black black card makes people arent black feel less sympathetic because every race here issues with them,True,True,False,True,True,False,False,False,False,False,False,False,Negative
christians rock,False,False,False,False,False,False,False,False,False,False,False,False,Negative
only good anchor have ever seen,False,False,False,False,False,False,False,False,False,False,False,False,Positive
islamic terrorist insighting hatred violence under disguise african citizen time that american citizens realise their true enemy islam black white people,True,False,False,False,False,True,False,False,False,False,True,False,Negative
fuck corrupt demon worshiping fools,True,True,False,False,False,False,False,False,False,False,False,False,Negative
this dumbass claims that policed hired thugs took phone shot rounds without evidence back claims,True,True,False,False,False,False,False,False,False,False,False,False,Negative
mike browns father does into ithe caught video saying burn bitch down reffering fergusonand this dude interviwing just thug should given time,True,True,False,False,False,False,False,False,False,False,False,False,Negative
brown isused excuse loot take peoples shit destroy neighborhoods haaaa typical ghetto bullshit aint even hood just ghetto bitches collecting free rent from govt while fighting govt same occupy wall street fagets have nothing else clean highways ,True,False,False,False,False,True,True,False,False,False,False,False,Negative
wtf isnt this mugged iphone ferguson that video hilarious,False,False,False,False,False,False,False,False,False,False,False,False,Negative
what does trayvon martin michael brown have common the real reason behind riots that dare speak of with zimmerman case common factors here those race mongers like sharpton msnbc whipping black community racism where there racism injustice where there injustice give year promise you there will another zimmerman michael brown style case but bigger question will there similar case because rather than face real root cause many problems suffered black americans poverty high crime high black black murder rate easier turn blind point finger shout racism what root cause black problems america racism root cause break down black american family high number fatherless children growing single parent homes governments statistics reveal that children born into fatherless homes more likely drop school more likely have history unemployment high chance poverty more likely serve time prison list goes when look fact that black children will grow fatherless home compared white children number that begins explain black poverty black crime high amongst blacks america with black mothers welfare complied with dysfunctional gangsterrap culture that glorifies promiscuity drug dealers abuse women power gun problem beginning emerge reason deaths trayvon martin michael brown begin come clear black americans minority doing dying probably killing that needs said have black culture violence financed welfare system conclusion like said there will another race based case sooner latter fact will never end long race mongers like sharpton msnbc continue promote idea that about racism rather than disintegration black american family another ferguson just around corner,False,False,False,False,False,False,False,False,False,False,False,False,Negative
many shots disable officer felt threatened there call backup many shots before cannot continue threaten another with transcript witness evidence released there seems more questions unanswered than answered pray involved that they might find some peace from terrible encounter amen,False,False,False,False,False,False,False,False,False,False,False,False,Positive
thought this waste skin catching just desert 3300fps wouldnt make popular with free people allowed party dont live bookends this country rest libshits would yourselves justice know majority real americans despise every way know every continue exist because ying must have yang motherjumper,True,True,False,False,True,True,False,False,False,False,False,False,Negative
wow ahole that makes interviewer seem reasonable balanced,True,True,False,False,True,False,False,False,False,False,False,False,Negative
never argue with idiot,True,True,False,False,False,False,False,False,False,False,False,False,Negative
ratchetlol,False,False,False,False,False,False,False,False,False,False,False,False,Negative
stfu muslim piece shit cops should have fired rounds into ass better still lets head pour pigs blood down throat willing them dirty fckn islamic bastards that those fires even blacks that did,True,True,True,True,False,True,False,False,False,False,True,False,Negative
made song addressing ferguson issues today please listen thank bigger picture soundcloud listen bigger picture kool soundcloud httpsoundcloudcomdereksavage3thabiggerpicture,False,False,False,False,False,False,False,False,False,False,False,False,Positive
michael smerconish little bitch like subtly tries insult laughs him this really shows will stoop what garbage hole become what piece sucking work michael smerconish guess wonder home dont watch cnn crap news network,True,True,False,False,True,False,False,False,False,False,False,False,Negative
thanksgiven christmas owners business that were lootedstole from burned good reason none years come these people nothing except serve same ones that burned them out have mercy would not,False,False,False,False,False,False,False,False,False,False,False,False,Positive
grand jury processor have much power justice system connections with other police departments thats what sayin honestly,False,False,False,False,False,False,False,False,False,False,False,False,Positive
they protecting serving from people like michael brown deserved killed more about it,True,True,False,True,False,False,False,False,False,False,False,False,Negative
that shot white guy there would riots since shot black guy everyone seems think because black look evidence skin color everyone always throws race card over crap like this,False,False,False,False,False,False,False,False,False,False,False,False,Negative
find amusing these protesters claim theyre fighting against racism they blind their racism there have been several reports black people attacking white people just couple days ago reported that white beaten death with hammer black teens louis yeah clearly racial intent there fucking hypocrites,True,True,False,True,False,True,True,False,False,False,False,False,Negative
excellent theyd mediaslaves have wait speak outso this gets lost into next tragedy theres travesty happening here thats been going since thee origins usa nøbody free thee illusion real thee struggle were experiencing collision this experiment psychological warfare through attrition typing thatalways aware baiting dont allow them create helter skelter,False,False,False,False,False,False,False,False,False,False,False,False,Negative
michael brown store assaulted store owner then fought with police officer darren wilson through police window went officer gun then shot killed brown have shirt saying armed this what happens when criminal activity regardless color your skin linch mentality should there way public pressure when facts support browns activity day some wonder brown wanted death suicide family could sue,True,True,False,True,False,False,False,False,False,False,False,False,Negative
this fucking fuck cant even defend himself properly what joke,True,True,False,False,True,False,False,False,False,False,False,False,Negative
wow think going bullet proof vestshit your black its like everybody tryin shoot you,True,True,False,True,False,False,False,False,False,False,False,False,Negative
black officer shot white would fine black people racist,True,False,False,False,False,True,True,False,False,False,False,False,Negative
this delusional morons anger only justified mike was indeed unjustly killed other hand mike malicious person shooting justified then rioting justified know what happened there that day riots taking place basis assumptions,True,True,False,False,True,False,False,False,False,False,False,False,Negative
omg its terrorist isis undercoveragent what doing americans arrest him,True,False,False,False,False,True,True,False,False,False,False,False,Negative
keep letting real people front camera truth will told purest form,False,False,False,False,False,False,False,False,False,False,False,False,Positive
criminal kids shot police almost everyday plus mike brown criminal record started fight,False,False,False,False,False,False,False,False,False,False,False,False,Negative
city full really really really dumb people cant reason with them,True,True,False,False,False,False,False,False,False,False,False,False,Negative
this your counties back middle east thats your counties,True,False,False,False,False,True,True,False,False,False,False,False,Negative
people shot everyday come this only thats getting attention,False,False,False,False,False,False,False,False,False,False,False,False,Negative
that history mankind where people color creed cultures have found rise ashes oppression their self betterment self preservation except blacks why please enlighten this unknown phenomena,True,False,False,False,False,True,True,False,False,False,False,False,Negative
what fucking douche,True,True,False,False,True,False,False,False,False,False,False,False,Negative
needs hire that man real american trouble,True,True,False,True,False,False,False,False,False,False,False,False,Negative
feral hoodlum down rest longer need fear thuggish behavior upset about that blame parents they failed raise right provide proper supervision just defective from start either sounds like case quality control thank officer wilson doing your job,True,False,False,False,False,True,True,False,False,False,False,False,Negative
government killing population,True,True,False,True,False,False,False,False,False,False,False,False,Negative
fakecnn,True,True,False,False,False,False,False,False,False,False,False,False,Negative
need back basics when these savages riot protest german shepards then shoot these animals,True,True,True,False,False,True,True,False,False,False,False,False,Negative
hell they even interviewing him this guys such idiot,True,True,False,False,False,False,False,False,False,False,False,False,Negative
god fucking love that arab guy such wise words seriously someone open eyes world sees things they are which rare world today fucking amen that guy wake fuck america,True,True,False,False,True,False,False,False,False,False,False,False,Negative
smerconish sir journalist journalists claim interview object that heshe searching 15mins fame just being part interview andor just because heshe speak direction wanted them anything trying defame person that illegal should definitively serve time that should back school because truly obvious that handle word mouth with care critical enough authorities would wait tons paper that shows what knowthat indeed ran stopped hands shot multiple times there should doubt from your side that this happened witnesses says there should however investigative journalist goes people your opinion superior your chair some real reporting shame you shame hiring professionals,True,True,False,True,False,False,False,False,False,False,False,False,Negative
that arab rapping 314 ahead brolol getto,True,False,False,False,False,True,True,False,False,False,False,False,Negative
isnt this dude knocked phone stolen ferguson,False,False,False,False,False,False,False,False,False,False,False,False,Negative
bassem masri uneducated idiot just listen words coming mouth sounds like stupid little kid sorry please grow fuck learn laws instead repeating freedom speech im citizen ahead bro ill listen you somebody shut this,True,True,False,False,True,False,False,False,False,False,False,False,Negative
white children deserve have future tens millions nonwhites flooding into white countries every year will decades mean that whites will minority every country they founded black countries will remain majority black asian countries will remain majority asian only white countries will affected this this genocide under international law antiwhites dont call genocide they call diversity diversity means chasing down every last white child antiracist codeword antiwhite,True,False,False,False,False,True,True,False,False,False,False,False,Negative
bassem masri well said bro,False,False,False,False,False,False,False,False,False,False,False,False,Positive
this idiot thats best have lost already what bozo,True,True,False,False,False,False,False,False,False,False,False,False,Negative
back where hes from period mouth moron,True,True,False,False,True,True,True,False,False,False,False,False,Negative
muslims like spit white people brought muslims nggrs still wait plasma cheap looted some shop,True,False,False,False,False,True,True,False,False,False,True,False,Negative
muslim bitch,True,False,False,False,False,True,False,False,False,False,True,False,Negative
masri unemployed,True,True,False,True,False,False,False,False,False,False,False,False,Negative
wait they area that majority african americans doesnt make since that majority people pulled over searched arrested that same area would african american well,False,False,False,False,False,False,False,False,False,False,False,False,Negative
this video liberal propaganda used further divide people fuel chaos ferguson stay tuned trial with facts before deciding that evil white people source problems mean straight watch trial news cnn msnbc,False,False,False,False,False,False,False,False,False,False,False,False,Negative
ugly truth talk like thug like thug walk like thug live like thug then will like thug live sword sword dont hate player hate game this innocent little child just walking down street shot back cannot blame parents then must look individual this case adult what kind music listen what kind videos view were role models environment affect him were enablers associate with most importantly when will accountable actions unfortunately this day chose wrong pathway fate cannot store call shoplifting heck might well call borrowing without permission this first crime there were probably many unrecorded not caught negative actions mike brown mb cannot assault another human being without consequences should just playing deal childish real folks riots looting attacks threats nothing with with culture feel they entitled will excuse propaganda find excuse commit crimes name justice peace hands dont shoot please this culture needs stop pants ground pants ground looking like fool with your pants ground turned sideways gold your mouth looking like fool with your pants ground say this about race this about lack justice justice naturally street will usually tragedy this result immature with respect thug believed could size intimidate probably school know street  real parents those around them would have called what childish that not childish behaviors behaviors were felonious criminal frank would have probably cost life elsewhere different time real parents would have stated this son what wrong this store clerk fact evidence shows assaulted this officer posed threat going after officer before shots were fired then rest peace actions condone this consequence just choices actions unconditionally love son however also forgive officer apologize store clerk hope family people move only learn actions live dictate consequences positive negative would also like support alternate methods event this does happen again using nonlethal weapons such rubber bullets taser mace etc  those truly support change silence violence there sugar coat here human race need accountable what lastly officer racist shoot without rhyme reason fact just targeted because they were black decided down back front even though surrendered peacefully with hands raised then would side with those support cause unfortunately evidence thus does support above paragraph question would this still reaction officer were female question would this still reaction officer were blackafrican american question would this still reaction mike brown gunned down peer race question would this still reaction mike brown were white question would this still result death mike brown productive home work school other than running streets people nothing world more dangerous than sincere ignorance conscientious stupidity martin luther king think safe say living dangerous times because this simple fact proving this martin luther king jrs quote unfortunately coming from race those supporting lost cause people wolf please repost,True,False,False,False,False,True,True,False,False,False,False,False,Negative
people blacks play victim according comments fault that elected officals racists whites good thing going missouri they racist white folks point fingers take these punk bitches power goin back racism deport everyone else,True,False,False,False,False,True,True,False,False,False,False,False,Negative
protest converted into riot because majority people wanted dont fooled politicians they play serious games with common man take care everyone save humanity peace,False,False,False,False,False,False,False,False,False,False,False,False,Positive
worst testtube video ever some inequality choice white flight change demographics etc remaining residents have say they vote their nominees city council meetings their grievances before councilmen etc besides this supposedly postracial era america what does race leaders matter btw title asked what really caused riots seems from most accounts answer outoftown lawbreakers,False,False,False,False,False,False,False,False,False,False,False,False,Negative
that punk blasted reason that didnt shoot someone else would have,True,True,False,False,False,False,False,False,False,False,False,False,Negative
people entire media missing this huge crucial point micheal brown even stopped first place happened officer said that because mike brown walking street then days later because robbed convenience store despite fact that owner himself says that store never robbed officer apparently fear life claims seriously injured altercation with mike brown even though there video showing officer perfectly fine standing mikes body hour after shooting also mikes body feet away from where officer when mike apparently charged him man police full shit cant that this shit made then youre either bigot just fucking idiot,True,True,False,False,True,False,False,False,False,False,False,False,Negative
black this piece came stiff repeated african american,False,False,False,False,False,False,False,False,False,False,False,False,Negative
